category,sub_category,crimeaditionalinfo
Online Financial Fraud,Internet Banking Related Fraud,Hamare sath online transaction ka ka fraud hua hai Ford car contact number  hai mere account se  rupaye cut gaye hain jis ki timing  hi fraud karne wale ne bataya ki main Dilli se baat kar rha hun usne mujhe bataya bataya ki main ki aapka mitra hun mare khate mein mein kuch problem hai tum apne khate mein mere  rupaye transaction karva lo phir main jab kahunga to mujhe phir se wapas bhej dena
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Fraud Credit Card  
I beg to state that I am Jitender Kumar a Citi Bank Visa Platinum credit card holder of XXXX XXXX XXXX  number

I am writing this letter to inform you about the fraud transaction that happened on  and  Date A sum of  Amount was debited from my card The Card physically i have and it happend during night and without OTP these transactions processed so i could not decline

I had a word with Citibank Support executive and they have raised the request against my concern with Reference Number NDIF

The following are the details for my credit card

Name   Jitender Kumar
Bank Name  Citibank
Card Number  XXXX XXXX XXXX 
Mobile Number    "
Online and Social Media Related Crime,Profile Hacking Identity Theft,Someone else hacked my Instagram account and balckmailing for video calls and pics and using my insta Id and asking money my frnds and put my number in stories and pics talking too much bad with frnds etc asking money
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH    PAYTM 
 BANK    STATE BANK OF INDIA   
 ACCOUNT    NUMBER   
TOTAL AMOUNT   	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Any Other Cyber Crime,Other,AMOUNT Rs  TRANSFER TO WRONG PAYTM BANK ACCOUNT HIS NAME IS MR SONU AND HIS MOBILE NO IS  HIS BANK NAME IS STATE BANK OF INDIA AND ACCOUNT NO IS  HE DID NOT PICK THE PHONE AFTER RECEICING THE MONEY AND DO NOT GET REFUND
Online Financial Fraud,Fraud CallVishing,"I found a scorpio car KA  Z on olx portal on sale i saw the car pictures it was in good condition so I set my mind to buy the carthan i shared my contact number with a person name waseem pasha his contact number  and  who had posted a addhe introduced him self as a military service man working in Blr airport and apart from car he offered a furniture also which he was selling coz he had got posting in Hyderabadshared his id card and car documents on my whatsup numberI checked RC online it was exactly which he  sharedI got confidence and faith coz he was a military personal
I agreed to pay an advance of Rs for both car and furniture and i paid it to account provided by him and he also acknowledged the sameafter receiving payment he demanded  towards transportation charges for furniture than i refused to pay it and asked him to take payment on deliverybut now he is saying that untill Rs  is not paid he cant deliver us neither  furniture nor car 
kindly help me to get my amount back"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Received fraud call  money sent to C games
Any Other Cyber Crime,Other,"i wanted to shift my car from surat to bangalore and through logisticsmart many suppliers contacted me I gave contract to shift the car to MrMahaveer Prasad Choudhary of Marutiexpresscargo packers and movers for an agreed price of Rs   door to door without any hidden charges and extra cost
Accordingly his company picked up the car from Pal Surat on Feb  AM with a promise to deliver the car in Bellandur Bangalore on Feb  I had paid advance of Rs  to him and balance was agreed to be paid after receipt On Feb he sent me an invoice of Rsinstead of promised  and informed me that the car is in Hubli and will be released only if I pay balance amount or will charge Rs  Extra per day I did not agree and but he started threatening for non delivery of car When i mentioned i will go through legal route he started threatening and using abusive language I was forced to pay another  total  incl  advance for next day Feb delivery Next day evening he said balance amount is also required and once again started using abusive languages i researched and found that he is a fraud and had similar past history and cheating of many customers httpswwwbhaskarcomlocalrajasthanjaipurnewsthecrookswhoranawaywithdomesticgoodsonthepretextoftransportdemandedlakhrupeesforredeeminghtml httpswwwconsumercomplaintsinmarutiexpresscargopackersandmoversitemnotdeliveredc"
Online Financial Fraud,DematDepository Fraud,Sir this person say to me investment on mutual investment Pvt Ltd and he promised to me that if I invested thousand I will gate lakh tousand and sure this happen only  hours my brother MBBS fees I gave her and after  minutes he dimand me to more money I refused and asked to return my money he forced to me more money and last he give hours time but did not got my money till  January then he say to me if I immediately send  thousand he give tonight my all profit and afterall I have not any way then I send her money but he did not send my money today he demanded  thousands more please help me my brother fees also so let if I did not pay fees my brother MBBS Carrie will finish please help me sir
Online Financial Fraud,Internet Banking Related Fraud,"Citizen Detail
Name  anil jain
Add plot no g  sector  hiranmangri 
Dist   udaipur
Mobile no   
Ps hiranmangri  
Pin code 
Bank sbi ac no 
fraud date  
time am
SUMMARY
suchnakarta ke pass KYC update karne ke liye ek massage aaya jaise hi jankari bhari aur otp dalne par total amount   cut gye hai 
 fraud no 
"
